frame_number,timestamp,keypoint_index,raw_x,raw_y,raw_z,raw_visibility,filtered_x,filtered_y,filtered_z,filtered_visibility,diff_x,diff_y,diff_z
2,0.066667,29,0.063250,0.754934,0.182043,0.809563,0.063932,0.754270,0.154113,0.809563,0.000683,-0.000664,-0.027929
2,0.066667,30,0.054900,0.754242,0.050020,0.671772,0.058016,0.752203,0.069645,0.671772,0.003117,-0.002039,0.019625
2,0.066667,31,0.086023,0.747734,0.118338,0.678914,0.082430,0.743316,0.111460,0.678914,-0.003593,-0.004418,-0.006877
2,0.066667,32,0.051232,0.731920,-0.004550,0.512521,0.054966,0.735756,0.037879,0.512521,0.003734,0.003836,0.042429
3,0.100000,0,0.066712,0.323926,-0.142988,0.998268,0.058060,0.325942,-0.038783,0.998268,-0.008651,0.002016,0.104205
3,0.100000,1,0.066491,0.314813,-0.123415,0.995979,0.055819,0.317079,-0.037738,0.995979,-0.010672,0.002266,0.085677
3,0.100000,2,0.067452,0.314602,-0.123572,0.996294,0.055175,0.316925,-0.037873,0.996294,-0.012278,0.002323,0.085699
3,0.100000,3,0.068411,0.314447,-0.123526,0.996432,0.054394,0.316863,-0.037827,0.996432,-0.014017,0.002416,0.085698
3,0.100000,4,0.062549,0.315136,-0.139221,0.997347,0.056603,0.317930,-0.044813,0.997347,-0.005946,0.002794,0.094408
3,0.100000,5,0.060885,0.315100,-0.139420,0.998287,0.056574,0.318281,-0.044965,0.998287,-0.004312,0.003181,0.094455
3,0.100000,6,0.059461,0.315125,-0.139551,0.998256,0.056536,0.318631,-0.045048,0.998256,-0.002924,0.003506,0.094503
3,0.100000,7,0.066099,0.320013,-0.031897,0.998001,0.051308,0.321829,-0.022547,0.998001,-0.014791,0.001817,0.009351
3,0.100000,8,0.056196,0.320102,-0.099177,0.997359,0.056374,0.324382,-0.051930,0.997359,0.000177,0.004280,0.047247
3,0.100000,9,0.067634,0.333641,-0.105892,0.996347,0.056707,0.335820,-0.028298,0.996347,-0.010926,0.002179,0.077594
